Nama,Tgl,wa
Kak Doni ,17 Jan,+62 856-4979-1876
Pak Rahmat,17 Jan,+62 856-4979-1946
Ibu Herti,17 Jan,+62 856-4979-1953
Pak Yudi,17 Jan,+62 856-4979-2013
Ibu Indra,17 Jan,+62 856-4979-2267
Pak Andi,17 Jan,+62 853-2180-5695
Ibu Pipit ,17 Jan,+62 823-3565-9877
Ibu Alfiah,18 Jan,+62 856-4989-0890
Ibu Reni,18 Jan,+62 856-4989-0906
Pak Ali ,18 Jan,+62 856-4989-0972
Ibu Riana,18 Jan,+62 856-4989-1052
Mas Chanif,18 Jan,+62 856-4989-1079
Kak Aziz ,18 Jan,+62 856-4989-1178
Pak Mahmud ,18 Jan,+62 856-4989-1297
Ibu Ummu Luqman ,18 Jan,+62 856-4989-1307
Pak Yatno ,18 Jan,+62 856-4989-1369
Kak Icang ,18 Jan,+62 856-4989-1403
Pak Robi,18 Jan,+62 856-4989-1413
Kak Yayan ,18 Jan,+62 856-4989-1470
Ibu Titi ,18 Jan,+62 856-4989-1551
Pak Muhdi ,18 Jan,+62 856-4989-1721
Pak Susilo,18 Jan,+62 856-4989-1927
Ibu Arif,18 Jan,+62 856-4989-1959
Pak Eni,18 Jan,+62 856-4989-2040
Kak Nia,18 Jan,+62 856-4989-2121
Mas Aji ,18 Jan,+62 856-4989-2159
Ibu Endang,19 Jan,+62 856-4989-2209
Kak Jamal ,19 Jan,+62 856-4987-2177
Pak Ainur,19 Jan,+62 856-4987-2225
Pak Pur,19 Jan,+62 856-4987-2228
Mas Tio,19 Jan,+62 856-4987-2229
Pak Handono,19 Jan,+62 856-4987-2300
Ibu Ika ,19 Jan,+62 856-4987-2323
Sahabat Yatim,19 Jan,+62 856-4987-2361
Pak Bambang,19 Jan,+62 856-4987-2388
Kak Yusanto,19 Jan,+62 856-4987-2401
Pak Toma,19 Jan,+62 856-4987-2409
Ibu Nia ,19 Jan,+62 856-4987-2466
Ibu Desi ,19 Jan,+62 856-4987-2515
Kak Ihksan,19 Jan,+62 856-4987-2315
Ibu Sri,19 Jan,+62 856-4987-2495
Pak Karta ,19 Jan,+62 856-4987-2745
Pak Ja'far ,19 Jan,+62 856-4987-2777
Ibu Erna,19 Jan,+62 856-4987-2851
Pak Arsyad,19 Jan,+62 856-4987-2852
Kak Raja ,19 Jan,+62 856-4987-2845
Pak Ari,20 Jan,+62 856-4987-3003
Pak Udin,20 Jan,+62 856-4987-3188
Ibu Sri ,20 Jan,+62 856-4987-3214
Kak Acho,20 Jan,+62 856-4987-3289
Pak Teri,20 Jan,+62 856-4987-3316
Ibu Lila,20 Jan,+62 856-4987-3329
Pak Edi,20 Jan,+62 856-4987-3347
Pak Nawir,20 Jan,+62 856-4987-3363
Kak Rini ,20 Jan,+62 856-4987-3372
Ibu Nili ,20 Jan,+62 856-4987-3427
Ibu Tika,20 Jan,+62 856-4987-3462
Sahabat Yatim,20 Jan,+62 856-4987-3581
Kak Putra,20 Jan,+62 856-4987-3649
Ibu Lik,20 Jan,+62 856-4986-9905
Kak Dimas,20 Jan,+62 856-4986-9906
Pak Yohanes,20 Jan,+62 856-4986-9959
Kak Apri,20 Jan,+62 856-4986-9961
Kak Agus ,20 Jan,+62 856-4987-0000
Ibu Ria ,20 Jan,+62 856-4987-0018
Pak Samsul,20 Jan,+62 856-4987-0045
Ibu Susan ,20 Jan,+62 856-4987-0050
Pak Abdillah,22 Jan,+62 856-4987-0073
Kak Andik,22 Jan,+62 856-4987-0115
Mas Roni,22 Jan,+62 856-4987-0183
Kak Mahes,22 Jan,+62 856-4987-0184
Ibu Rita,22 Jan,+62 856-4987-0216
Pak Agus ,22 Jan,+62 856-4987-0254
Ibu Nur,22 Jan,+62 856-4987-0265
Ibu Dhofah,22 Jan,+62 856-4987-0296
Ibu Rifa,22 Jan,+62 856-4987-0326
Pak Propto,22 Jan,+62 856-4987-0355
Kak Pila,22 Jan,+62 856-4987-0377
Pak Ade ,22 Jan,+62 856-4987-0405
Ibu Sari,22 Jan,+62 856-4987-0485
Pak Toha,22 Jan,+62 856-4987-0542
Ibu Nunuk,22 Jan,+62 856-4987-0578
Pak Komar ,22 Jan,+62 856-4987-0609
Ibu Nia,22 Jan,+62 856-4987-0705
Ibu Yuri,22 Jan,+62 856-4987-0707
Pak Imam,22 Jan,+62 856-4987-0770
Pak Mualimin,22 Jan,+62 856-4987-0649
Sahabat Yatim,24 Jan,+62 856-4987-3302
Pak Widodo,24 Jan,+62 856-4987-0850
Kak Amalia,24 Jan,+62 856-4987-0965
Kak Indra ,24 Jan,+62 856-4987-0984
Pak Yusuf ,24 Jan,+62 856-4987-1003
Kak Samsul,24 Jan,+62 856-4987-1060
Pak Samsul,24 Jan,+62 856-4987-1113
Ibu Opy,24 Jan,+62 856-4987-1140
Ibu Solikah,24 Jan,+62 856-4987-1171
Ibu Tias ,24 Jan,+62 856-4987-1175
Pak Adit ,24 Jan,+62 856-4987-1192
Kak Firman ,24 Jan,+62 856-4987-1249
Pak Syaiful,24 Jan,+62 856-4990-8914
Ibu Jumnah ,24 Jan,+62 856-4990-9003
Pak H Luthfi,24 Jan,+62 856-4990-9012
Pak Khuatin,24 Jan,+62 856-4990-9026
Kak Iwan,24 Jan,+62 856-4990-9029
Ibu Nina,24 Jan,+62 856-4990-9040
Kak Selamet,24 Jan,+62 856-4990-9076
Mas Egi,24 Jan,+62 856-4987-1324
Pak Eko,25 Jan,+62 856-4990-9081
Kak Samsul,25 Jan,+62 856-4990-9147
Pak Efendi,25 Jan,+62 856-4990-9148
Pak Solikin,25 Jan,+62 856-4990-9180
Kak Hanita,25 Jan,+62 856-4990-9204
Pak Bayu ,25 Jan,+62 856-4990-9209
Kak Faza,25 Jan,+62 856-4990-9257
Kak Ita ,25 Jan,+62 856-4990-9271
Pak Widodo,25 Jan,+62 856-4990-9272
Mas Rio,25 Jan,+62 856-4990-9293
Pak Sulhan ,25 Jan,+62 856-4990-9302
Pak Jumiran,25 Jan,+62 856-4990-9315
Kak Eko ,25 Jan,+62 856-4990-9360
Ibu Tatik,25 Jan,+62 856-4990-9394
Pak Triatmadi,25 Jan,+62 856-4990-9457
Pak Anas,25 Jan,+62 856-4990-9498
Pak Al,25 Jan,+62 856-4990-9546
Ibu Dewi & Kak Brilian,25 Jan,+62 856-4990-9562
Pak Farhan,25 Jan,+62 856-4990-9669
Pak Eko ,25 Jan,+62 856-4990-9719
Kak Surya,25 Jan,+62 856-4990-9729
Pak Andre,25 Jan,+62 856-4990-9610
Kak Nur Risa,26 Jan,+62 856-4990-9757
Ibu Romadon,26 Jan,+62 856-4990-9794
Pak Siswanto,26 Jan,+62 856-4990-9842
Ibu Basid,26 Jan,+62 856-4990-9919
Ibu Ani,26 Jan,+62 856-4990-9944
Ibu Lusi,26 Jan,+62 856-4990-9948
Ibu Elita,26 Jan,+62 856-4991-0003
Ibu Fia,26 Jan,+62 856-4991-0009
Mas Farid,26 Jan,+62 856-4991-0010
Kak Dadang,26 Jan,+62 856-4991-0033
Pak Rohman,26 Jan,+62 856-4990-9890
Kak Indra,29 Jan,+62 856-4991-0036
Pak Alsaki,29 Jan,+62 856-4991-0072
Kak Novan,29 Jan,+62 856-4991-0144
Pak Suyanto,29 Jan,+62 856-4991-0149
Pak Agus,29 Jan,+62 856-4991-0114
Pak Aris,29 Jan,+62 856-4991-0162
Pak Arip,29 Jan,+62 856-4991-0196
Ibu Suswati,29 Jan,+62 856-4991-0212
Ibu Nikmah,29 Jan,+62 856-4991-0229
Kak Ayu,29 Jan,+62 856-4991-0242
Pak Hendopo,29 Jan,+62 856-4991-0284
Pak Subhan,29 Jan,+62 856-4991-0291
Ibu Eva,29 Jan,+62 856-4991-0313
Pak Zainuddin,29 Jan,+62 856-4991-0333
Ibu Tri ,29 Jan,+62 856-4991-0355
Kak Iya,29 Jan,+62 856-4991-0363
Mbak Upay,29 Jan,+62 856-4990-7743
Pak Ranu,29 Jan,+62 856-4990-7779
Ibu Ani,29 Jan,+62 856-4990-7792
Kak Sofi,29 Jan,+62 856-4990-7808
Pak Tedi,3 Feb,+62 856-4990-7846
Pak Agus,3 Feb,+62 856-4990-7897
Pak Triono,3 Feb,+62 856-4990-7913
Pak Johan,3 Feb,+62 856-4990-7948
Ibu Iba,3 Feb,+62 856-4990-8026
Ibu Nia,3 Feb,+62 856-4990-8087
Ibu Sarmi ,3 Feb,+62 856-4990-8103
Pak Mahmudi,3 Feb,+62 856-4990-8128
Kak Hanna,3 Feb,+62 856-4990-8135
Pak Charis,3 Feb,+62 856-4990-8255
Pak Minto,3 Feb,+62 856-4990-8265
Kak Dian,3 Feb,+62 856-4990-8254
Pak Doni,3 Feb,+62 856-4990-8268
Ibu Sofi ,3 Feb,+62 856-4990-8417
Kak Sofi,3 Feb,+62 856-4990-8485
Kak Sofi,3 Feb,+62 856-4990-8437
Pak Iman ,3 Feb,+62 856-4990-8488
Pak Agus,3 Feb,+62 856-4990-8577
Kak Yova,3 Feb,+62 856-4990-8586
Mbak Asih,3 Feb,+62 856-4990-8614
Kak Bayu,5 Feb,+62 856-4990-8814
Ibu Tati,5 Feb,+62 856-4990-8833
Pak Agus,5 Feb,+62 856-4990-8907
Kak Ali,5 Feb,+62 856-4990-8966
Kak Reni,5 Feb,+62 856-4990-9068
Pak Roni,5 Feb,+62 856-4990-9096
Ibu Elly,5 Feb,+62 856-4990-9203
Pak Usup,5 Feb,+62 856-4990-9204
Kak Kartono,5 Feb,+62 856-4990-8823
